MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData maximum NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
56,51,14,12,8,9,87,78,71.57142857,17.87755102,87,10.811,137.327,126.516,31.84951429,30.13642449,15.9994,54.8,2348,2293.2,845.0285714,903.1183673,54.8,2,16,14,13.14285714,3.265306122,16,4,2.571428571,0.979591837,215,149,92.42857143,35.02040816,66,0.89,3.44,2.55,2.675714286,0.873469388,3.44,2,0,4,2.571428571,1.632653061,4,0,0,0,0,0,0,2,6,4,4.571428571,1.632653061,6,0,0,0,0,0,5,5,2.571428571,1.387755102,2,0,0,0,0,0,0,0,5,5,2.571428571,1.387755102,2,7.1725,63.59,56.4175,16.33642857,13.50102041,9.105,1.524,1.524,0.435428571,0.622040816,0,0,0,0,12,229,217,87,85.71428571,12
8,5,6.444444444,1.728395062,8,1,87,86,72.44444444,16.17283951,87,6.941,15.9994,9.0584,13.26344444,3.039950617,15.9994,54.8,2348,2293.2,863.5211111,989.6525926,54.8,1,16,15,13.33333333,2.962962963,16,0,2,0,128,62,78.88888889,14.32098765,66,0.98,3.44,2.46,2.7,0.822222222,3.44,1.888888889,0.197530864,4,2.555555556,1.604938272,4,0,0,0,0,0,0,1,6,5,4.444444444,1.728395062,6,1,1,0.111111111,0.197530864,0,5,5,2.777777778,1.481481481,2,0,0,0,0,0,0,1,5,4,2.888888889,1.407407407,2,7.1725,16.59333333,9.420833333,9.29287037,1.622325103,9.105,1.524,1.524,0.508,0.677333333,0,0,0,0,12,229,217,87.44444444,83.82716049,12
55,52,9.333333333,5.074074074,8,1,87,86,72.66666667,15.92592593,87,6.941,132.9054519,125.9644519,20.26146955,12.51599804,15.9994,54.8,2348,2293.2,855.0711111,995.2859259,54.8,1,16,15,13.33333333,2.962962963,16,4,2.222222222,0.419753086,244,178,85.33333333,22.37037037,66,0.79,3.44,2.65,2.689444444,0.833950617,3.44,1.888888889,0.197530864,4,2.555555556,1.604938272,4,0,0,0,0,0,0,1,6,5,4.444444444,1.728395062,6,1,1,0.111111111,0.197530864,0,5,5,2.777777778,1.481481481,2,0,0,0,0,0,0,1,5,4,2.888888889,1.407407407,2,7.1725,115.765,108.5925,14.80240741,11.41705761,9.105,1.524,1.524,0.508,0.677333333,0,0,0,0,12,229,217,87.44444444,83.82716049,12
55,50,12.22222222,9.50617284,8,5,87,82,72.88888889,15.67901235,87,10.811,132.9054519,122.0944519,27.25949466,23.47687939,15.9994,54.8,2348,2293.2,846.6211111,1000.919259,54.8,1,16,15,13.33333333,2.962962963,16,4,2.444444444,0.790123457,244,178,91.77777778,33.82716049,66,0.79,3.44,2.65,2.678888889,0.845679012,3.44,1.888888889,0.197530864,4,2.555555556,1.604938272,4,0,0,0,0,0,0,1,6,5,4.444444444,1.728395062,6,1,1,0.111111111,0.197530864,0,5,5,2.777777778,1.481481481,2,0,0,0,0,0,0,1,5,4,2.888888889,1.407407407,2,7.1725,115.765,108.5925,20.31194444,21.21179012,9.105,1.524,1.524,0.508,0.677333333,0,0,0,0,12,229,217,87.44444444,83.82716049,12
19,15,8.222222222,2.740740741,8,3,93,90,72.88888889,18.34567901,87,9.012182,39.0983,30.086118,17.1031856,5.730122133,15.9994,53.5,2348,2294.5,675.1033333,765.0422222,54.8,1,17,16,11.11111111,6.296296296,16,2,2.222222222,0.395061728,203,146,87.88888889,29.18518519,66,0.82,3.98,3.16,2.697777778,1.064691358,3.44,1.888888889,0.197530864,5,2.555555556,2.049382716,4,0,0,0,0,0,0,1,7,6,4.444444444,2.172839506,6,1,1,0.111111111,0.197530864,0,5,5,1.444444444,1.160493827,2,0,0,0,0,0,0,0,5,5,1.555555556,1.061728395,2,7.1725,73.10666667,65.93416667,15.86546296,12.72026749,9.105,1.97,1.97,0.607111111,0.809481481,0,0,0,0,12,229,217,94.33333333,90.14814815,12
38,34,11.53846154,8.142011834,8,8,87,79,69.46153846,19.66863905,87,9.012182,87.62,78.607818,25.14478185,19.22314405,15.9994,54.8,2348,2293.2,792.2769231,794.2059172,54.8,2,16,14,11.23076923,5.680473373,16,3,2.461538462,0.781065089,195,129,93.23076923,32.16568047,66,0.95,3.44,2.49,2.553846154,0.954319527,3.44,2,0,4,2.307692308,1.822485207,4,0,0,0,0,0,0,2,6,4,4.307692308,1.822485207,6,0,0,0,0,0,5,5,1.846153846,1.136094675,2,0,0,0,0,0,0,0,5,5,1.846153846,1.136094675,2,7.1725,54.23,47.0575,15.56307692,11.89751479,9.105,1.524,1.524,0.234461538,0.396781065,0,0,0,0,12,225,213,96.46153846,90.95857988,12
37,33,10.22222222,5.950617284,8,4,93,89,73,18.22222222,87,9.012182,85.4678,76.455618,22.25535227,14.04721061,15.9994,53.5,2348,2294.5,672.4288889,766.8251852,54.8,1,17,16,11.11111111,6.296296296,16,3,2.333333333,0.592592593,220,163,89.77777778,31.7037037,66,0.82,3.98,3.16,2.697777778,1.064691358,3.44,1.888888889,0.197530864,5,2.555555556,2.049382716,4,0,0,0,0,0,0,1,7,6,4.444444444,2.172839506,6,1,1,0.111111111,0.197530864,0,5,5,1.444444444,1.160493827,2,0,0,0,0,0,0,0,5,5,1.555555556,1.061728395,2,7.1725,90.7225,83.55,17.82277778,16.19993827,9.105,1.97,1.97,0.607111111,0.809481481,0,0,0,0,12,229,217,94.33333333,90.14814815,12
55,51,12.22222222,9.50617284,8,5,93,88,73.11111111,18.09876543,87,9.012182,132.9054519,123.8932699,27.52620248,23.41761098,15.9994,53.5,2348,2294.5,671.2211111,767.6303704,54.8,1,17,16,11.11111111,6.296296296,16,4,2.444444444,0.790123457,244,187,92.44444444,35.25925926,66,0.79,3.98,3.19,2.694444444,1.068395062,3.44,1.888888889,0.197530864,5,2.555555556,2.049382716,4,0,0,0,0,0,0,1,7,6,4.444444444,2.172839506,6,1,1,0.111111111,0.197530864,0,5,5,1.444444444,1.160493827,2,0,0,0,0,0,0,0,5,5,1.555555556,1.061728395,2,7.1725,115.765,108.5925,20.60527778,21.14660494,9.105,1.97,1.97,0.607111111,0.809481481,0,0,0,0,12,229,217,94.33333333,90.14814815,12
38,32,13.71428571,8.448979592,8,3,93,90,63.14285714,32.93877551,87,12.0107,87.62,75.6093,29.38937189,19.41130178,15.9994,53.5,3823,3769.5,775.3471429,949.2302041,54.8,1,17,16,11.71428571,5.836734694,16,3,2.714285714,1.020408163,203,146,104.1428571,54.20408163,66,0.82,3.98,3.16,2.66,1.045714286,3.44,1.857142857,0.244897959,5,2.714285714,1.755102041,4,0,0,0,0,0,0,1,7,6,4.571428571,1.918367347,6,1,1,0.142857143,0.244897959,0,4,4,1.571428571,1.06122449,2,0,0,0,0,0,0,0,4,4,1.714285714,0.897959184,2,5.64,73.10666667,67.46666667,24.28559524,22.50442177,9.105,4.496,4.496,0.923714286,1.319591837,0,0,0,0,12,229,217,99.85714286,99.55102041,12
20,16,8.153846154,2.390532544,8,2,93,91,69.38461538,20.69822485,87,9.012182,40.078,31.065818,16.74684127,4.896253643,15.9994,53.5,2348,2294.5,744.9361538,800.9721893,54.8,1,17,16,11.23076923,5.834319527,16,2,2.230769231,0.390532544,176,119,88.84615385,27.47928994,66,0.93,3.98,3.05,2.597692308,0.990177515,3.44,1.923076923,0.142011834,5,2.384615385,1.893491124,4,0,0,0,0,0,0,1,7,6,4.307692308,1.976331361,6,1,1,0.076923077,0.142011834,0,5,5,1.769230769,1.207100592,2,0,0,0,0,0,0,0,5,5,1.846153846,1.112426036,2,7.1725,37.77,30.5975,12.42121795,6.487830375,9.105,1.97,1.97,0.386,0.593846154,0,0,0,0,12,229,217,97,91.07692308,12
