formula,formation energy
BaB2O4,-3.105
LiB3O5,-2.819
CsLiB6O10,-2.85
CsB3O5,-2.82
KBe2BO3F2,-3.186
Sr2Be2B2O7,-3.179
RbBe2BO3F2,-3.185
CsBe2BO3F2,-3.179
KSrCO3F,-2.796
NaCaBe2B2O6F,-3.102
NaSr3Be3B3O9F4,-3.299
BaAlBO3F2,-3.556
K3Ba3Li2Al4B6O20F ,-3.083
BaZnBO3F,-2.943
KCaCO3F,-2.806
Li2Ga2GeS6,-1.163
LiGaGe2Se6,-0.509
Li2In2GeSe6,-0.688
Li2In2SiSe6,-0.749
KZn2BO3Cl2,-2.215
BiB2O4F,-2.63
LiB6O9F,-2.876
Li2B6O9F2,-2.91
Li2B3O4F3,-3.016
NaBe2BO3F2,-3.133
Ba3Mg3(BO3)3F3,-3.32
(NH4)2PO3F,-1.429
(C(NH2)3)2PO3F,-1.014
Na3NbOF6,-3.199
K3Ti(O2)2F3,-2.443
K2TiOF4,-3.436
Ba2TiOF6,-4.009
Li2Ta2O3F6,-3.494
Ba2MoO3F4,-3.317
Ba2WO3F4 ,-3.363
Pb5W3O9F10,-2.324
RbSbSO4F2,-2.376
CsSbSO4F2,-2.377
LiGaS2,-1.358
LiGaSe2,-0.911
LiGaTe2,-0.628
LiInTe2,-0.628
LiInS2,-1.265
Li2ZrTeO6,-2.506
La3SnGa5O14,-2.842
K2Sr(PO3)4,-2.85
KLa(PO3)4,-2.942
CsLa(PO3)4,-2.951
KBa2(PO3)5,-2.928
Ba3P3O10Cl,-3.148
Ba3P3O10Br,-3.078
LiPbPO4,-2.511
Rb3Al2(PO4)3,-2.942
K3Al2(PO4)3,-2.95
LiK3P2O7,-2.685
LiNa3P2O7,-2.655
LiCsP2O6,-2.716
BaNa(PO3)3,-2.882
Rb2Na(NO3)3,-1.486
Pb2(SeO3)(NO3)2,-1.277
BaMnSnS4,-1.045
BaZnSnS4,-1.425
BaCdGeS4,-1.374
BaCdSnS4,-1.383
BaGa2SiS6,-1.428
BaGa2GeS6,-1.323
BaGa2SiSe6,-0.887
BaGa2GeSe6,-0.829
SrCu2GeS4,-1.125
SrCu2SnS4,-1.108
SrCu2GeSe4,-0.694
BaCu2GeS4,-1.139
BaCu2GeSe4,-0.717
BaCu2SnSe4,-0.742
BaAg2GeS4,-1.102
BaAg2SnS4,-1.096
BaAg2GeSe4,-0.716
BaAg2SnSe4,-0.736
EuLi2GeS4,-1.555
PbLi2GeS4,-1.143
K2Bi2(SO4)2Cl4,-2.009
Sb6O7(SO4)2,-1.881
Sn2P2S6,-0.75
LiZnPS4,-1.039
AgZnPS4,-0.739
Zn3P2S8,-0.866
InPS4,-0.802
K2P2Se6,-0.519
Rb2P2Se6,-0.522
KZrPSe6,-0.601
KPSe6,-0.331
RbPSe6,-0.341
KNb2PSe10,-0.571
RbNb2PSe10,-0.58
CsNb2PSe10,-0.591
K4GeP4Se12,-0.527
Rb4GeP4Se12,-0.537
Cs4GeP4Se12,-0.558
Cs2Ba3(P2O7)2,-3.054
Li3AlSiO5,-2.983
Li2SiO3,-2.891
Na(GeP)3,-0.174
Ca2CdP2,-0.907
BaGe2P2,-0.506
BaGe2As2,-0.504
LaSiP3,-0.723
LaSi2P6,-0.465
MgSiAs2,-0.312
MnSiP2,-0.101
RuSi4P4,-0.359
La4InSbS9,-2.006
Eu2Ga2GeS7 ,-0.713
Dy3GaS6,-2.13
Ba6Sn6Se13,-1.227
BaHgS2,-1.487
BaGa4S7 ,-1.353
BaGa4Se7,-0.871
BaAl4Se7 ,-1.095
Ba5In4Te4S7,-1.51
Ba2BiInS5 ,-1.611
Ba2BiInSe5,-1.209
Na2ZnGe2S6,-1.073
Li2CdGeS4,-1.187
KCd4Ga5S12,-1.101
Li2In2SiS6,-1.221
Na2In2SiS6,-1.206
Na4MgSi2Se6,-0.959
LiAsS2,-0.939
Rb3Ta2AsS11,-1.27
SnGa2GeS6,-0.86
CdCu2SnS4,-0.745
NaBa4Ge3S10Cl,-1.689
SbF3 ,-2.709
NaSb3F10,-2.776
Cs2Hg3I8,-0.717
HgBr2,-0.431
Rb2CdBr2I2,-1.284
Zn(IO3)2,-1.067
NaI3O8,-1.029
RbIO3,-1.382
BPO4,-2.775
LiBO2,-2.738
SrB4O7,-3.026
BHO2,-2.299
B2S2O9,-2.202
LiB(SO4)2,-2.242
CaB4O7,-3.004
LiB3O5,-2.819
Li3B5(HO5)2,-2.599
Li3B5(HO5)2,-2.6
BPH4NO4F,-1.982
B(HO)3,-1.925
YB6(HO4)3,-2.728
Li2B4O7,-2.813
Cs2Sr2Li3B3(PO4)6,-2.917
NaLiB4O7,-2.79
Mg3B7ClO13,-2.918
CaB3HO6,-2.848
NaB5(H2O5)2,-2.406
RbB5(H2O3)4,-1.138
LiB(S2O7)2,-2.056
BaBPO5,-3.127
NaB(HO)4,-1.884
SrLi(B3O5)3,-2.938
B5H12NO12,-1.913
Mg3B7ClO13,-2.916
Al4(B2O5)3,-3.093
Sr3B6O11F2,-3.239
BaBPO5,-3.127
NaSiBO4,-2.925
CsB9O14,-2.839
YBe2B5O11,-3.102
BaLi(B3O5)3,-2.952
Ba2B6H4O13,-2.663
SrBPO5,-3.131
CaB8H4O15,-2.633
Ca(BO2)2,-3.121
MgB2H6O7,-2.057
Sr2B5ClO9,-3.079
Na2B4O7,-2.735
NaBe(BO2)3,-2.852
KSi2BO6,-3.064
Ca2B5BrO9,-2.985
Na5B(SO4)4,-2.291
Ca2SiB2O7,-3.258
Ba3B6O11F2,-3.218
SrB4O7,-3.024
Na5B(SO4)4,-2.292
BaNa(B3O5)3,-2.944
RbB3O5,-2.814
